Time [ms],Corrected Value
"8780.0","6.0456"
"8800.0","6.1561"
"8820.0","6.0471"
"8840.0","6.5198"
"8860.0","6.2276"
"8880.0","6.0072"
"8900.0","5.9757"
"8920.0","6.0997"
"8940.0","6.3135"
"8960.0","6.1115"
"8980.0","6.1113"
"9000.0","5.9096"
"9020.0","6.0757"
"9040.0","6.4135"
"9060.0","6.0377"
"9080.0","6.0942"
"9100.0","5.7807"
"9120.0","5.9741"
"9140.0","6.2778"
"9160.0","6.0331"
"9180.0","5.8523"
"9200.0","5.9819"
"9220.0","6.0187"
"9240.0","6.3638"
"9260.0","6.0425"
"9280.0","5.9889"
"9300.0","5.8349"
"9320.0","5.9786"
"9340.0","6.3395"
"9360.0","6.0761"
"9380.0","5.9115"
"9400.0","5.8700"
"9420.0","6.0584"
"9440.0","6.4365"
"9460.0","6.1018"
"9480.0","6.1271"
"9500.0","5.7839"
"9520.0","6.0351"
"9540.0","6.3539"
"9560.0","6.1023"
"9580.0","5.9928"
"9600.0","5.9948"
"9620.0","6.1717"
"9640.0","6.3984"
"9660.0","6.0801"
"9680.0","6.1318"
"9700.0","5.8675"
"9720.0","5.9558"
"9740.0","6.2952"
"9760.0","5.8891"
"9780.0","6.0307"
"9800.0","5.7545"
"9820.0","5.9284"
"9840.0","6.2592"
"9860.0","6.0129"
"9880.0","5.9365"
"9900.0","5.7246"
"9920.0","5.9579"
"9940.0","6.4348"
"9960.0","6.2120"
"9980.0","5.8575"
"10000.0","5.7312"
"10020.0","5.8857"
"10040.0","6.3359"
"10060.0","6.0964"
"10080.0","5.8853"
"10100.0","5.8073"
"10120.0","6.0259"
"10140.0","6.1438"
"10160.0","6.1243"
"10180.0","6.0032"
"10200.0","5.8469"
"10220.0","5.9816"
"10240.0","6.1735"
"10260.0","5.9875"
"10280.0","5.9602"
"10300.0","5.9028"
"10320.0","6.0134"
"10340.0","6.2760"
"10360.0","5.8894"
"10380.0","5.9559"
"10400.0","5.7510"
"10420.0","5.9525"
"10440.0","6.0604"
"10460.0","6.1223"
"10480.0","6.0045"
"10500.0","5.8733"
"10520.0","5.9042"
"10540.0","6.1048"
"10560.0","5.9450"
"10580.0","6.0360"
"10600.0","5.7802"
"10620.0","5.8349"
"10640.0","6.2579"
"10660.0","6.1764"
"10680.0","6.0719"
"10700.0","5.8579"
"10720.0","6.0214"
"10740.0","6.2999"
"10760.0","5.8907"
"10780.0","5.8620"
"10800.0","5.7258"
"10820.0","5.9131"
"10840.0","6.3841"
"10860.0","5.9228"
"10880.0","5.8660"
"10900.0","5.7485"
"10920.0","5.9044"
"10940.0","6.2451"
"10960.0","6.1048"
"10980.0","5.9361"
"11000.0","5.8373"
"11020.0","5.9335"
"11040.0","6.1642"
"11060.0","6.1098"
"11080.0","6.0328"
"11100.0","5.8526"
"11120.0","5.8922"
"11140.0","6.0767"
"11160.0","6.0678"
"11180.0","6.0348"
"11200.0","5.6674"
"11220.0","6.1073"
"11240.0","6.2538"
"11260.0","6.1681"
"11280.0","5.9335"
"11300.0","5.8628"
"11320.0","6.1356"
"11340.0","6.4170"
"11360.0","6.0972"
"11380.0","5.9418"
"11400.0","5.9161"
"11420.0","6.0051"
"11440.0","6.2669"
"11460.0","5.9023"
"11480.0","5.9999"
"11500.0","5.7155"
"11520.0","5.9987"
"11540.0","6.2308"
"11560.0","6.0504"
"11580.0","5.9022"
"11600.0","5.8865"
"11620.0","5.9043"
"11640.0","6.2966"
"11660.0","6.1802"
"11680.0","6.0121"
"11700.0","5.8049"
"11720.0","5.8973"
"11740.0","6.3205"
"11760.0","6.0243"
"11780.0","6.0754"
"11800.0","5.7867"
"11820.0","5.9721"
"11840.0","6.0879"
"11860.0","6.2304"
"11880.0","6.0797"
"11900.0","5.8322"
"11920.0","6.0662"
"11940.0","6.0868"
"11960.0","6.1068"
"11980.0","6.0109"
"12000.0","5.6466"
"12020.0","5.9323"
"12040.0","6.3236"
"12060.0","6.0258"
"12080.0","6.0315"
"12100.0","5.8208"
"12120.0","6.0650"
"12140.0","6.2409"
"12160.0","6.1073"
"12180.0","6.0502"
"12200.0","5.7668"
"12220.0","5.9971"
"12240.0","6.3288"
"12260.0","6.1487"
"12280.0","5.9269"
"12300.0","5.8510"
"12320.0","5.9503"
"12340.0","6.2059"
"12360.0","6.0972"
"12380.0","6.0233"
"12400.0","5.8278"
"12420.0","5.9539"
"12440.0","6.3095"
"12460.0","6.1201"
"12480.0","5.9929"
"12500.0","5.8201"
"12520.0","6.1202"
"12540.0","6.2559"
"12560.0","6.1573"
"12580.0","5.9987"
"12600.0","5.6470"
"12620.0","5.9412"
"12640.0","5.9923"
"12660.0","6.1497"
"12680.0","5.9824"
"12700.0","5.7133"
"12720.0","5.9493"
"12740.0","6.0995"
"12760.0","6.1311"
"12780.0","6.0603"
"12800.0","5.6969"
"12820.0","6.1891"
"12840.0","6.1651"
"12860.0","6.0492"
"12880.0","6.0270"
"12900.0","5.6742"
"12920.0","6.0651"
"12940.0","6.0813"
"12960.0","6.0246"
"12980.0","5.9106"
"13000.0","5.8984"
"13020.0","6.0174"
"13040.0","6.0576"
"13060.0","6.0798"
"13080.0","5.9850"
"13100.0","5.7109"
"13120.0","5.9043"
"13140.0","6.2153"
"13160.0","6.1795"
"13180.0","6.0474"
"13200.0","5.7701"
"13220.0","5.9750"
"13240.0","6.1530"
"13260.0","6.0718"
"13280.0","5.9689"
"13300.0","5.6155"
"13320.0","5.8793"
"13340.0","6.2944"
"13360.0","6.1729"
"13380.0","5.9149"
"13400.0","5.6575"
"13420.0","5.9240"
"13440.0","5.9094"
"13460.0","6.1432"
"13480.0","5.9940"
"13500.0","5.7435"
"13520.0","5.9948"
"13540.0","6.1820"
"13560.0","6.2166"
"13580.0","5.9994"
"13600.0","5.6125"
"13620.0","5.9531"
"13640.0","5.9609"
"13660.0","6.1025"
"13680.0","5.9128"
"13700.0","5.6019"
"13720.0","5.8951"
"13740.0","5.9605"
"13760.0","6.1452"
"13780.0","5.9768"
"13800.0","5.6496"
"13820.0","5.9516"
"13840.0","5.9845"
"13860.0","6.2796"
"13880.0","5.9828"
"13900.0","5.7663"
"13920.0","5.9665"
"13940.0","6.2275"
"13960.0","6.3801"
"13980.0","6.0150"
"14000.0","5.8884"
"14020.0","6.0757"
"14040.0","6.1190"
"14060.0","6.2828"
"14080.0","5.9788"
"14100.0","5.7594"
"14120.0","6.0507"
"14140.0","5.9938"
"14160.0","6.1090"
"14180.0","5.9793"
"14200.0","5.6470"
"14220.0","6.0022"
"14240.0","6.0697"
"14260.0","6.1385"
"14280.0","5.8678"
"14300.0","5.7355"
"14320.0","6.1100"
"14340.0","5.8806"
"14360.0","6.1904"
"14380.0","5.9400"
"14400.0","5.8006"
"14420.0","5.9995"
"14440.0","5.8902"
"14460.0","6.0541"
"14480.0","5.8966"
"14500.0","5.5097"
"14520.0","5.9632"
"14540.0","5.9659"
"14560.0","6.1339"
"14580.0","5.9734"
"14600.0","5.7351"
"14620.0","5.8953"
"14640.0","5.9903"
"14660.0","6.1022"
"14680.0","5.9663"
"14700.0","5.6389"
"14720.0","5.9608"
"14740.0","6.0043"
"14760.0","6.1943"
"14780.0","6.0503"
"14800.0","5.7483"
"14820.0","5.9641"
"14840.0","6.1957"
"14860.0","6.3564"
"14880.0","6.0340"
"14900.0","5.7703"
"14920.0","6.0169"
"14940.0","5.9905"
"14960.0","6.1699"
"14980.0","5.9497"
"15000.0","5.6093"
"15020.0","5.8450"
"15040.0","6.1798"
"15060.0","6.1388"
"15080.0","6.0032"
"15100.0","5.8410"
"15120.0","6.0956"
"15140.0","6.2361"
"15160.0","6.0992"
"15180.0","5.9705"
"15200.0","5.8389"
"15220.0","6.0223"
"15240.0","6.0475"
"15260.0","6.3332"
"15280.0","6.0271"
"15300.0","5.7456"
"15320.0","6.0288"
"15340.0","5.9729"
"15360.0","6.0643"
"15380.0","6.0880"
"15400.0","5.6725"
"15420.0","6.0969"
"15440.0","6.2082"
"15460.0","6.3624"
"15480.0","6.0603"
"15500.0","5.7625"
"15520.0","5.8987"
"15540.0","6.1019"
"15560.0","6.0180"
"15580.0","6.0607"
"15600.0","5.8659"
"15620.0","5.8954"
"15640.0","6.0099"
"15660.0","6.0549"
"15680.0","6.1131"
"15700.0","5.8674"
"15720.0","6.0581"
"15740.0","6.0476"
"15760.0","6.3808"
"15780.0","5.9687"
"15800.0","5.6028"
"15820.0","5.9446"
"15840.0","6.0937"
"15860.0","6.2543"
"15880.0","6.0852"
