Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100154.0","-3.5003","-3.7897","-3.6508","-3.6474","0.0000"
"100155.0","-3.4442","-3.7550","-3.6506","-3.6474","0.0000"
"100156.0","-3.4693","-3.7169","-3.6504","-3.6474","0.0000"
"100157.0","-3.4613","-3.6683","-3.6502","-3.6474","0.0000"
"100158.0","-3.5617","-3.6255","-3.6501","-3.6474","0.0000"
"100159.0","-3.5094","-3.5867","-3.6500","-3.6474","0.0000"
"100160.0","-3.6039","-3.5570","-3.6500","-3.6474","0.0000"
"100161.0","-3.7331","-3.5404","-3.6500","-3.6474","0.0000"
"100162.0","-3.8414","-3.5698","-3.6502","-3.6474","0.0000"
"100163.0","-3.8396","-3.5964","-3.6504","-3.6474","0.0000"
"100164.0","-3.7597","-3.6224","-3.6505","-3.6474","0.0000"
"100165.0","-3.7597","-3.6539","-3.6506","-3.6474","0.0000"
"100166.0","-3.6533","-3.6723","-3.6506","-3.6474","0.0000"
"100167.0","-3.8115","-3.7073","-3.6508","-3.6474","0.0000"
"100168.0","-3.7353","-3.7247","-3.6509","-3.6474","0.0000"
"100169.0","-3.5484","-3.7286","-3.6508","-3.6474","0.0000"
"100170.0","-3.5576","-3.7239","-3.6507","-3.6474","0.0000"
"100171.0","-3.5838","-3.7090","-3.6506","-3.6474","0.0000"
"100172.0","-3.5145","-3.6763","-3.6505","-3.6474","0.0000"
"100173.0","-3.4461","-3.6370","-3.6503","-3.6474","0.0000"
"100174.0","-3.5342","-3.6144","-3.6502","-3.6474","0.0000"
"100175.0","-3.5297","-3.5914","-3.6500","-3.6474","0.0000"
"100176.0","-3.5786","-3.5840","-3.6500","-3.6474","0.0000"
"100177.0","-3.6614","-3.5690","-3.6500","-3.6474","0.0000"
"100178.0","-3.7546","-3.5709","-3.6501","-3.6474","0.0000"
"100179.0","-3.6832","-3.5844","-3.6501","-3.6474","0.0000"
"100180.0","-3.7059","-3.5992","-3.6502","-3.6474","0.0000"
"100181.0","-3.7660","-3.6174","-3.6503","-3.6474","0.0000"
"100182.0","-3.7870","-3.6447","-3.6504","-3.6474","0.0000"
"100183.0","-3.7503","-3.6751","-3.6505","-3.6474","0.0000"
"100184.0","-3.6605","-3.6877","-3.6505","-3.6474","0.0000"
"100185.0","-3.6399","-3.6987","-3.6505","-3.6474","0.0000"
"100186.0","-3.5303","-3.6939","-3.6504","-3.6474","0.0000"
