Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"300170.0","45.0346","42.1789","44.3421","-0.0500"
"300171.0","44.3227","42.5384","44.3324","-0.0500"
"300172.0","43.2596","42.7962","43.7960","-0.0500"
"300173.0","41.7181","42.8734","42.7570","-0.0500"
"300174.0","40.1048","42.7509","41.4309","-0.0500"
"300175.0","39.7257","42.5935","40.5783","-0.0500"
"300176.0","40.1982","42.4837","40.3883","-0.0500"
"300177.0","40.4500","42.3063","40.4191","-0.0500"
"300178.0","40.2844","41.9715","40.3518","-0.0500"
"300179.0","40.2554","41.5353","40.3036","-0.0500"
"300180.0","40.7483","41.1067","40.5259","-0.0500"
"300181.0","40.9618","40.7706","40.7438","-0.0500"
"300182.0","40.9918","40.5438","40.8678","-0.0500"
"300183.0","41.0763","40.4797","40.9721","-0.0500"
"300184.0","42.2133","40.6905","41.5927","-0.0500"
"300185.0","43.7690","41.0948","42.6808","-0.0500"
"300186.0","44.0206","41.4771","43.3507","-0.0500"
"300187.0","43.8883","41.8209","43.6195","-0.0500"
"300188.0","42.8152","42.0740","43.2173","-0.0500"
"300189.0","42.8152","42.3300","43.0163","-0.0500"
"300190.0","41.1542","42.3706","42.0852","-0.0500"
"300191.0","39.3909","42.2135","40.7381","-0.0500"
"300192.0","38.6012","41.9744","39.6696","-0.0500"
"300193.0","38.6206","41.7288","39.1451","-0.0500"
"300194.0","38.8910","41.3966","39.0181","-0.0500"
"300195.0","38.8503","40.9047","38.9342","-0.0500"
"300196.0","38.7673","40.3794","38.8507","-0.0500"
"300197.0","38.9292","39.8835","38.8900","-0.0500"
"300198.0","39.0433","39.5063","38.9666","-0.0500"
"300199.0","38.8099","39.1058","38.8883","-0.0500"
"300200.0","38.6719","38.8576","38.7801","-0.0500"
"300201.0","40.1527","38.9337","39.4664","-0.0500"
"300202.0","41.3423","39.2079","40.4044","-0.0500"
"300203.0","41.9030","39.5361","41.1537","-0.0500"
"300204.0","41.9930","39.8463","41.5733","-0.0500"
