Time [ms],Timestamp,Raw Value,Corrected Value,,,,,
371,36:31.9,2245462,3.9774,,,,,
372,36:31.9,2245829,4.0175,,,,,
373,36:31.9,2245638,3.9966,,,,,
374,36:31.9,2246195,4.0574,,,,,
375,36:31.9,2245334,3.9635,,,,,
376,36:31.9,2245469,3.9782,,,,,
377,36:31.9,2244316,3.8525,,,,,
378,36:31.9,2243812,3.7976,,,,,
379,36:31.9,2245859,4.0207,,,,,
380,36:31.9,2245452,3.9764,,,,,
381,36:31.9,2245509,3.9826,,,,,
382,36:31.9,2245009,3.9281,,,,,
383,36:31.9,2245016,3.9288,,,,,
384,36:31.9,2244540,3.877,,,,,
385,36:31.9,2243502,3.7638,,,,,
386,36:31.9,2243451,3.7582,,,,,
387,36:31.9,2243631,3.7778,,,,,
388,36:31.9,2243785,3.7946,,,,,
389,36:31.9,2242834,3.6909,,,,,
390,36:31.9,2243424,3.7553,,,,,
391,36:31.9,2241576,3.5538,,,,,
392,36:31.9,2241576,3.5538,,,,,
393,36:31.9,2240808,3.4701,,,,,
394,36:31.9,2241072,3.4989,,,,,
395,36:31.9,2239861,3.3668,,,,,
396,36:31.9,2241082,3.5,,,,,
397,36:31.9,2240960,3.4866,,,,,
398,36:31.9,2240488,3.4352,,,,,
399,36:31.9,2241297,3.5234,,,,,
400,36:31.9,2240498,3.4363,,,,,
401,36:31.9,2240871,3.4769,,,,,
402,36:31.9,2242036,3.604,,,,,
403,36:31.9,2241389,3.5334,,,,,
404,36:31.9,2241627,3.5594,,,,,
405,36:31.9,2241681,3.5652,,,,,
406,36:31.9,2242142,3.6155,,,,,
407,36:31.9,2242262,3.6286,,,,,
408,36:31.9,2241989,3.5988,,,,,
409,36:31.9,2241681,3.5652,,,,,
410,36:31.9,2240780,3.467,,,,,
411,36:31.9,2239319,3.3077,,,,,
412,36:31.9,2239271,3.3025,,,,,
413,36:31.9,2238945,3.267,,,,,
414,36:31.9,2239594,3.3377,,,,,
415,36:31.9,2238662,3.2361,,,,,
